TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Build query text from complex attributes for pgvector search,3,3,,,,,
task,Re-rank by complex alignment score (0.5*cosine + 0.5*alignment),3,3,,,,,
task,Create API endpoints: GET /api/complexes and POST /api/search/complex,3,3,,,,,
task,Complex Discovery UI,2,2,,,,,
task,"Build ""Discover Aesthetics"" page showing all complexes",3,3,,,,,
task,"Show complex name / Φ score / support count / attribute summary",3,3,,,,,
task,"Add ""View Items"" link to browse products in each complex",3,3,,,,,
task,Phase 4 Validation,2,2,,,,,
task,Manual review: top 20 complexes represent coherent aesthetic concepts?,3,3,,,,,
task,Verify intra-complex Φ > inter-complex Φ (clusters are distinct),3,3,,,,,
task,Verify complex search precision > generic search precision,3,3,,,,,
task,User study: >80% agree complex products belong together,3,3,,,,,
task,IIT 4.0 Integration — Phase 5: Adaptive Weighting (Weeks 10-12),1,1,,,,,
task,Query Φ Analysis,2,2,,,,,
task,Implement analyze_query_phi() for text+image and text-only queries,3,3,,,,,
task,Implement infer_query_modality_balance() heuristic for text-only queries,3,3,,,,,
task,Classify queries as high-Φ (visual+semantic) vs low-Φ (abstract),3,3,,,,,
task,Adaptive Weighting Function,2,2,,,,,
task,Implement adaptive_search() with dynamic text/image weight selection,3,3,,,,,
task,"High Φ query → balanced (0.5/0.5), low Φ → favor dominant modality",3,3,,,,,
task,Implement merge_results() to combine text and image search results,3,3,,,,,
task,Wire adaptive search into API as optional mode,3,3,,,,,
task,Phase 5 A/B Test,2,2,,,,,
task,A/B test: fixed weighting (control) vs adaptive weighting (treatment),3,3,,,,,
task,"Test high-Φ queries (""red silk evening dress"")",3,3,,,,,
task,"Test low-Φ queries (""dark academia aesthetic"")",3,3,,,,,
task,Verify low-Φ queries improve +5% without hurting high-Φ queries,3,3,,,,,
task,IIT 4.0 Integration — CNN Integration,1,1,,,,,
task,Phase 1: Multi-Task Attribute CNN,2,2,,,,,
task,Define FashionAttributeCNN model (ResNet50 backbone + task heads),3,3,,,,,
task,"Implement silhouette head (12 classes), neckline (8), pattern (6), length (5)",3,3,,,,,
task,Implement color head (regression to RGB palette — 5 colors × 3 channels),3,3,,,,,
task,Implement multitask_loss with per-task weighting,3,3,,,,,
task,Prepare training data from Claude enrichment labels,3,3,,,,,
task,Create train/val/test splits (70/15/15),3,3,,,,,
task,Train CNN and evaluate accuracy per task head,3,3,,,,,
task,Validate: silhouette >70% / neckline >60% / pattern >75% accuracy,3,3,,,,,
task,Create cnn_predictions database table for storing CNN results,3,3,,,,,
task,Phase 2: CLIP Fine-Tuning,2,2,,,,,
task,Implement VintageCLIP class with contrastive_loss (InfoNCE),3,3,,,,,
task,"Fine-tune CLIP on (image, rich_text) pairs from dataset",3,3,,,,,
task,"Training setup: 10-20 epochs, lr=1e-5, batch=32",3,3,,,,,
task,Compare pretrained vs fine-tuned CLIP on Precision@5 and Recall@10,3,3,,,,,
task,Measure Φ improvement: expect average Φ from ~0.52 to >0.60,3,3,,,,,
task,Phase 3: Era Classification CNN,2,2,,,,,
task,Implement EraClassifier model (EfficientNet-B3 backbone + 8-era classifier),3,3,,,,,
task,Train on Met Museum items with verified dates,3,3,,,,,
task,Augmentation: horizontal flip / rotation / color jitter,3,3,,,,,
task,Test on Smithsonian items (cross-museum generalization),3,3,,,,,
task,Report top-1 and top-3 accuracy (goal: top-1 >80% on Met),3,3,,,,,
task,Phase 4: Visual-Text Attribute Fusion,2,2,,,,,
task,Implement fuse_attributes() — Φ-based vision-text fusion,3,3,,,,,
task,"Handle 3 cases: consensus, vision_primary, text_fallback",3,3,,,,,
task,Implement calculate_attribute_phi() using semantic similarity,3,3,,,,,
task,Create fused_attributes database table,3,3,,,,,
task,Integrate fused attributes into search ranking,3,3,,,,,
task,CNN-IIT Integration,2,2,,,,,
task,Approach 1: Add phi_attributes to ranking score (α·cosine + β·Φ_emb + γ·Φ_attr),3,3,,,,,
task,Approach 2: Use Φ analysis to prune low-Φ CNN task heads,3,3,,,,,
task,Approach 3: Include CNN attributes in complex discovery,3,3,,,,,
task,Approach 4: Use CNN confidence to dynamically weight vision vs text,3,3,,,,,
task,IIT 4.0 Integration — Technical Infrastructure,1,1,,,,,
task,Database Schema Extensions,2,2,,,,,
task,Create phi_scores table (product_id / phi_score / method / timestamp),3,3,,,,,
task,Create maximal_complexes table (product_id / fields / phi_full / phi_maximal),3,3,,,,,
task,Create discovered_complexes table (name / attributes JSONB / phi / support),3,3,,,,,
task,Create cnn_predictions table (per-attribute predictions + confidence),3,3,,,,,
task,Create fused_attributes table (fused values + phi + source per attribute),3,3,,,,,
task,Add indexes on phi_score columns,3,3,,,,,
task,Configuration,2,2,,,,,
task,Create config/iit.yaml with phi_calculator / search / complex settings,3,3,,,,,
task,Add phi_weight default to search config (0.3),3,3,,,,,
task,Add complex_discovery thresholds (min_support=10 / min_phi=0.65),3,3,,,,,
task,Install new dependencies,2,2,,,,,
task,Add scikit-learn to requirements (CCA + MI estimation),3,3,,,,,
task,Add scipy to requirements (entropy / pdist),3,3,,,,,
task,Optional: add torch + torchvision for CNN training,3,3,,,,,
task,Optional: add transformers for CLIP fine-tuning,3,3,,,,,
task,IIT 4.0 Integration — Validation & Metrics,1,1,,,,,
task,Quantitative Metrics,2,2,,,,,
task,Measure vibe query improvement vs baseline (+5-10% goal),3,3,,,,,
task,Measure category precision: top-5 match rate,3,3,,,,,
task,Calculate Φ-quality correlation: Pearson(Φ / user_rating) > 0.4,3,3,,,,,
task,Verify mean Φ distribution is normal / centered ~0.5,3,3,,,,,
task,Verify computational performance: <50ms per result,3,3,,,,,
task,User Studies,2,2,,,,,
task,"Φ Explanation study: 20 users / 10 queries — >70% find Φ helpful",3,3,,,,,
task,"Complex Coherence study: 15 users / 5 complexes — >80% agreement",3,3,,,,,
task,"Search Quality study: 30 users / free exploration — compare Φ-weighted vs baseline",3,3,,,,,
task,Measure click-through rate / dwell time / satisfaction rating,3,3,,,,,
task,Final integration testing,2,2,,,,,
task,Run full test suite with all 4 approaches active,3,3,,,,,
task,Verify no search quality regressions across 14 query categories,3,3,,,,,
task,Performance benchmark: end-to-end search latency < 200ms,3,3,,,,,
task,Document final architecture and update ARCHITECTURE.md,3,3,,,,,
